"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86661069","","NEW","2018-05-30T13:46:37","C","","N","N","Y","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXIG","Trade","IG.30:2I65BYDP7","","Basis points","65.94","","","USD","","110,000,000+","","3M","","","","","","","","","","","","","","",""
"86663386","","NEW","2018-05-30T14:05:21","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","70","","","EUR","","20,000,000","","3M","","","","","","","","","","","","","","",""
"86663462","","NEW","2018-05-30T14:05:46","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","Trade","ITRAXX EUROPE.MAIN.29.1:2I666VCI4","","BasisPoints","33","","","EUR","","50,000,000","","3M","","","","","0.725","P-","EU","EUR","164,999.99","","2018-07-18","","","",""
"86663472","","NEW","2018-05-30T14:05:52","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Swaptions:iTraxx:iTraxxEuropeSwaption","Trade","ITRAXX EUROPE.MAIN.29.1:2I666VCI4","","BasisPoints","25.1","","","EUR","","50,000,000","","3M","","","","","0.7","P-","EU","EUR","125,499.99","","2018-06-20","","","",""
"86661218","","NEW","2018-05-30T13:47:40","C","","N","N","Y","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXIG","Trade","IG.30:2I65BYDP7","","Basis points","65.72","","","USD","","110,000,000+","","3M","","","","","","","","","","","","","","",""
"86662955","","NEW","2018-05-30T14:00:20","U","UC","N","Y","N","OFF","2017-08-21","2018-08-21"," ACT/360","USD","CR","","Credit:Exotic:Other","Partialtermination","EGYPT (ARAB REPUBLIC OF):9LN09JK24","","Amount","1,876,035.72","","","EGP","","36,000,000","","3M","","","","","","","","","","","","","","",""
"86662975","","NEW","2018-05-30T14:01:54","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","EM.29:2I65BZDJ8","","Price","97.05","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86663566","","NEW","2018-05-30T14:00:01","U","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29:2I65BZDJ8","","Price","97.05","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
"86663567","","NEW","2018-05-30T14:07:08","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69.88","","","EUR","","20,000,000","","3M","","","","","","","","","","","","","","",""
"86662712","","NEW","2018-05-30T13:59:36","C","","N","N","Y","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","2I65BR:2I65BRPO2","","Price","106.17","","","USD","","50,000,000","","3M","","","","","","","","","","","","","","",""
